,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
0,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-01,1974-01-01,0.038,0.038,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
1,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-02,1974-02-01,0.156,0.156,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
2,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-03,1974-03-01,0.42,0.42,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
3,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-04,1974-04-01,0.285,0.285,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
4,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-05,1974-05-01,0.122,0.122,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
5,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-06,1974-06-01,0.041,0.041,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
6,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-07,1974-07-01,0.05,0.05,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
7,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-08,1974-08-01,0.114,0.114,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
8,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-09,1974-09-01,0.13,0.13,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
9,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-10,1974-10-01,0.345,0.345,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
10,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-11,1974-11-01,0.155,0.155,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
11,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1974-12,1974-12-01,0.244,0.244,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
12,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-01,1975-01-01,0.176,0.176,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
13,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-02,1975-02-01,0.109,0.109,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
14,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-03,1975-03-01,0.107,0.107,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
15,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-04,1975-04-01,0.125,0.125,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
16,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-05,1975-05-01,0.285,0.285,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
17,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-06,1975-06-01,0.33,0.33,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
18,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-07,1975-07-01,0.08,0.08,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
19,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-08,1975-08-01,0.092,0.092,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
20,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-09,1975-09-01,0.137,0.137,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
21,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-10,1975-10-01,0.126,0.126,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
22,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-11,1975-11-01,0.236,0.236,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
23,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1975-12,1975-12-01,0.123,0.123,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
24,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-01,1976-01-01,0.286,0.286,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
25,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-02,1976-02-01,0.425,0.425,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
26,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-03,1976-03-01,0.06,0.06,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
27,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-04,1976-04-01,0.606,0.606,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
28,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-05,1976-05-01,0.161,0.161,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
29,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-06,1976-06-01,0.52,0.52,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
30,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-07,1976-07-01,0.255,0.255,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
31,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-08,1976-08-01,0.212,0.212,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
32,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-09,1976-09-01,0.155,0.155,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
33,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-10,1976-10-01,0.138,0.138,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
34,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-11,1976-11-01,0.111,0.111,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
35,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1976-12,1976-12-01,0.404,0.404,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
36,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1977-01,1977-01-01,0.182,0.182,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
37,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1977-02,1977-02-01,0.212,0.212,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
38,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1977-03,1977-03-01,0.532,0.532,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
39,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1977-04,1977-04-01,0.4,0.4,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
40,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1977-05,1977-05-01,0.773,0.773,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
41,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1977-06,1977-06-01,0.376,0.376,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
42,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-01,1981-01-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
43,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-02,1981-02-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
44,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-03,1981-03-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
45,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-04,1981-04-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
46,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-05,1981-05-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
47,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-06,1981-06-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
48,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.1C_473.TXG_FOB_USD.1C_080,"Monthly – Yemen Arab Rep. – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",1981-07,1981-07-01,1.65916666666667,1.65916666666667,M,1C_473,TXG_FOB_USD,1C_080,Monthly,Yemen Arab Rep.,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
