,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
0,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-01,2011-01-01,0.239366,0.239366,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
1,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-02,2011-02-01,0.271051,0.271051,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
2,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-03,2011-03-01,0.29235,0.29235,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
3,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-04,2011-04-01,0.297029,0.297029,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
4,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-05,2011-05-01,0.356919,0.356919,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
5,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-06,2011-06-01,0.278955,0.278955,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
6,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-07,2011-07-01,0.390083,0.390083,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
7,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-08,2011-08-01,0.31607,0.31607,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
8,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-09,2011-09-01,0.322417,0.322417,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
9,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-10,2011-10-01,0.354671,0.354671,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
10,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-11,2011-11-01,0.313683,0.313683,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
11,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-12,2011-12-01,0.383964,0.383964,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
12,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-01,2012-01-01,0.127999,0.127999,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
13,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-02,2012-02-01,0.12023,0.12023,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
14,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.CW.TXG_FOB_USD.1C_080,"Monthly – Curacao – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-03,2012-03-01,0.124495,0.124495,M,CW,TXG_FOB_USD,1C_080,Monthly,Curacao,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
