,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
0,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-01,2015-01-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
1,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-02,2015-02-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
2,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-03,2015-03-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
3,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-04,2015-04-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
4,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-05,2015-05-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
5,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-06,2015-06-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
6,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-07,2015-07-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
7,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-08,2015-08-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
8,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-09,2015-09-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
9,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-10,2015-10-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
10,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-11,2015-11-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
11,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2015-12,2015-12-01,0.007422,0.007422,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
12,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2016-01,2016-01-01,0.022112,0.022112,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
13,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SS.TXG_FOB_USD.1C_080,"Monthly – South Sudan – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2016-02,2016-02-01,0.022112,0.022112,M,SS,TXG_FOB_USD,1C_080,Monthly,South Sudan,"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
