,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,COUNTERPART_AREA,Frequency,Reference Area,Indicator,Counterpart Reference Area
0,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-01,2011-01-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
1,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-02,2011-02-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
2,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-03,2011-03-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
3,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-04,2011-04-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
4,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-05,2011-05-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
5,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-06,2011-06-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
6,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-07,2011-07-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
7,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-08,2011-08-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
8,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-09,2011-09-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
9,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-10,2011-10-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
10,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-11,2011-11-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
11,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2011-12,2011-12-01,0.006221,0.006221,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
12,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-01,2012-01-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
13,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-02,2012-02-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
14,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-03,2012-03-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
15,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-04,2012-04-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
16,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-05,2012-05-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
17,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-06,2012-06-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
18,monthly,IMF,DOT,Direction of Trade Statistics (DOTS),M.SX.TXG_FOB_USD.1C_080,"Monthly – Sint Maarten (Dutch part) – Goods, Value of Exports, Free on board (FOB), US Dollars – Export earnings: fuel, Millions",2012-07,2012-07-01,0.004022,0.004022,M,SX,TXG_FOB_USD,1C_080,Monthly,Sint Maarten (Dutch part),"Goods, Value of Exports, Free on board (FOB), US Dollars",Export earnings: fuel
