,code,displayOrder,name,iso3A
0,000,0,World,
1,004,10,Afghanistan,AFG
2,950,20,Africa,
3,008,40,Albania,ALB
4,012,50,Algeria,DZA
5,016,70,American Samoa,ASM
6,020,90,Andorra,AND
7,024,100,Angola,AGO
8,660,110,Anguilla,AIA
9,028,130,Antigua and Barbuda,ATG
10,032,140,Argentina,ARG
11,051,150,Armenia,ARM
12,533,160,"Aruba, the Netherlands with respect to",ABW
13,970,170,Asia,
14,975,190,Association of Southeast Asian Nations (ASEAN),
15,036,200,Australia,AUS
16,040,220,Austria,AUT
17,031,230,Azerbaijan,AZE
18,044,250,Bahamas,BHS
19,048,260,"Bahrain, Kingdom of",BHR
20,050,270,Bangladesh,BGD
21,052,280,Barbados,BRB
22,112,290,Belarus,BLR
23,056,300,Belgium,BEL
24,058,310,Belgium-Luxembourg,BLX
25,084,320,Belize,BLZ
26,204,340,Benin,BEN
27,060,350,Bermuda,BMU
28,064,360,Bhutan,BTN
29,068,380,"Bolivia, Plurinational State of",BOL
30,535,385,"Bonaire, Sint Eustatius and Saba",
31,070,390,Bosnia and Herzegovina,BIH
32,072,400,Botswana,BWA
33,074,410,Bouvet Island,BVT
34,076,420,Brazil,BRA
35,086,430,British Indian Ocean Territory,IOT
36,096,440,Brunei Darussalam,BRN
37,100,450,Bulgaria,BGR
38,854,460,Burkina Faso,BFA
39,108,480,Burundi,BDI
40,132,485,Cabo Verde,CPV
41,116,490,Cambodia,KHM
42,120,500,Cameroon,CMR
43,124,510,Canada,CAN
44,136,560,Cayman Islands,CYM
45,140,590,Central African Republic,CAF
46,148,650,Chad,TCD
47,152,660,Chile,CHL
48,156,670,China,CHN
49,162,680,Christmas Island,CXR
50,166,690,Cocos (Keeling) Islands,CCK
51,170,700,Colombia,COL
52,910,730,"Commonwealth of Independent States (CIS), including certain associate and former member States",
53,174,760,Comoros,COM
54,178,770,Congo,COG
55,184,780,Cook Islands,COK
56,188,800,Costa Rica,CRI
57,384,810,Côte d'Ivoire,CIV
58,191,820,Croatia,HRV
59,192,830,Cuba,CUB
60,531,850,Curaçao,CUW
61,196,870,Cyprus,CYP
62,203,890,Czech Republic,CZE
63,180,920,Democratic Republic of the Congo,COD
64,208,930,Denmark,DNK
65,262,980,Djibouti,DJI
66,212,990,Dominica,DMA
67,214,1000,Dominican Republic,DOM
68,218,1110,Ecuador,ECU
69,818,1120,Egypt,EGY
70,222,1130,El Salvador,SLV
71,226,1140,Equatorial Guinea,GNQ
72,232,1150,Eritrea,ERI
73,233,1160,Estonia,EST
74,748,1165,Eswatini,SWZ
75,231,1170,Ethiopia,ETH
76,927,1189,Euro Area (19),
77,905,1190,Europe,
78,918,1240,European Union,EEC
79,899,1243,European Union (partner code),EEC
80,928,1243,European Union (28),
81,228,1244,"European Union, n.e.s.",
82,EUT,1252,Extra EU Trade,
83,E28,1253,Extra EU(28) Trade,
84,ZX9,1253,Extra Euro Area (19) Trade,
85,234,1270,Faeroe Islands,FRO
86,242,1290,Fiji,FJI
87,246,1300,Finland,FIN
88,250,1310,France,FRA
89,258,1370,French Polynesia,PYF
90,260,1380,French Southern Territories,ATF
91,946,1391,G-7 (Group of Seven),
92,266,1400,Gabon,GAB
93,270,1405,The Gambia,GMB
94,268,1410,Georgia,GEO
95,276,1430,Germany,DEU
96,288,1450,Ghana,GHA
97,292,1460,Gibraltar,GIB
98,300,1470,Greece,GRC
99,304,1480,Greenland,GRL
100,308,1490,Grenada,GRD
101,316,1510,Guam,GUM
102,320,1520,Guatemala,GTM
103,321,1521,Guernsey,GGY
104,324,1530,Guinea,GIN
105,624,1540,Guinea-Bissau,GNB
106,328,1550,Guyana,GUY
107,332,1560,Haiti,HTI
108,334,1570,Heard Island and Mcdonald Islands,HMD
109,336,1580,Holy See,VAT
110,340,1590,Honduras,HND
111,344,1600,"Hong Kong, China",HKG
112,348,1610,Hungary,HUN
113,352,1620,Iceland,ISL
114,356,1630,India,IND
115,360,1640,Indonesia,IDN
116,364,1650,Iran,IRN
117,368,1660,Iraq,IRQ
118,372,1670,Ireland,IRL
119,376,1680,Israel,ISR
120,380,1690,Italy,ITA
121,388,1700,Jamaica,JAM
