,code,displayOrder,name,iso3A
0,000,0,World,
1,004,10,Afghanistan,AFG
2,950,20,Africa,
3,962,30,"African, Caribbean and Pacific States (ACP)",
4,986,35,"Africa, CIS and Middle East",
5,008,40,Albania,ALB
6,012,50,Algeria,DZA
7,016,70,American Samoa,ASM
8,937,80,Andean Community (ANDEAN),
9,020,90,Andorra,AND
10,024,100,Angola,AGO
11,660,110,Anguilla,AIA
12,028,130,Antigua and Barbuda,ATG
13,032,140,Argentina,ARG
14,051,150,Armenia,ARM
15,533,160,"Aruba, the Netherlands with respect to",ABW
16,970,170,Asia,
17,980,180,Asia-Pacific Economic Cooperation (APEC),
18,975,190,Association of Southeast Asian Nations (ASEAN),
19,036,200,Australia,AUS
20,983,205,Australia and New Zealand,
21,040,220,Austria,AUT
22,031,230,Azerbaijan,AZE
23,044,250,Bahamas,BHS
24,048,260,"Bahrain, Kingdom of",BHR
25,050,270,Bangladesh,BGD
26,052,280,Barbados,BRB
27,112,290,Belarus,BLR
28,056,300,Belgium,BEL
29,058,310,Belgium-Luxembourg,BLX
30,084,320,Belize,BLZ
31,204,340,Benin,BEN
32,060,350,Bermuda,BMU
33,064,360,Bhutan,BTN
34,068,380,"Bolivia, Plurinational State of",BOL
35,535,385,"Bonaire, Sint Eustatius and Saba",
36,070,390,Bosnia and Herzegovina,BIH
37,072,400,Botswana,BWA
38,076,420,Brazil,BRA
39,981,425,BRIC members,
40,982,426,BRICS members,
41,096,440,Brunei Darussalam,BRN
42,100,450,Bulgaria,BGR
43,854,460,Burkina Faso,BFA
44,108,480,Burundi,BDI
45,132,485,Cabo Verde,CPV
46,116,490,Cambodia,KHM
47,120,500,Cameroon,CMR
48,124,510,Canada,CAN
49,941,550,Caribbean Community (CARICOM),
50,136,560,Cayman Islands,CYM
51,964,580,Central African Economic and Monetary Community (CAEMC),
52,140,590,Central African Republic,CAF
53,938,610,Central American Common Market (CACM),
54,148,650,Chad,TCD
55,152,660,Chile,CHL
56,156,670,China,CHN
57,170,700,Colombia,COL
58,958,710,Common Market for Eastern and Southern Africa (COMESA),
59,910,730,"Commonwealth of Independent States (CIS), including certain associate and former member States",
60,174,760,Comoros,COM
61,178,770,Congo,COG
62,184,780,Cook Islands,COK
63,188,800,Costa Rica,CRI
64,384,810,Côte d'Ivoire,CIV
65,191,820,Croatia,HRV
66,192,830,Cuba,CUB
67,531,850,Curaçao,CUW
68,196,870,Cyprus,CYP
69,201,880,Czech and Slovak Federal Republic,
70,203,890,Czech Republic,CZE
71,180,920,Democratic Republic of the Congo,COD
72,208,930,Denmark,DNK
73,262,980,Djibouti,DJI
74,212,990,Dominica,DMA
75,214,1000,Dominican Republic,DOM
76,943,1108,ECCAS (Economic Community of Central African States),
77,218,1110,Ecuador,ECU
78,818,1120,Egypt,EGY
79,222,1130,El Salvador,SLV
80,226,1140,Equatorial Guinea,GNQ
81,232,1150,Eritrea,ERI
82,233,1160,Estonia,EST
83,748,1165,Eswatini,SWZ
84,231,1170,Ethiopia,ETH
85,230,1180,Ethiopia (+ Eritrea),
86,927,1189,Euro Area (19),
87,905,1190,Europe,
88,923,1230,European Free Trade Association (EFTA),
89,918,1240,European Union,EEC
90,928,1243,European Union (28),
91,234,1270,Faeroe Islands,FRO
92,242,1290,Fiji,FJI
93,246,1300,Finland,FIN
94,948,1305,Four East Asian traders,
95,250,1310,France,FRA
96,254,1350,French Guiana,
97,258,1370,French Polynesia,PYF
98,260,1380,French Southern Territories,ATF
99,985,1390,G-20,
100,946,1391,G-7 (Group of Seven),
101,266,1400,Gabon,GAB
102,270,1405,The Gambia,GMB
103,268,1410,Georgia,GEO
104,278,1420,German Democratic Republic,DDR
105,276,1430,Germany,DEU
106,280,1440,"Germany, Federal Republic of",
107,288,1450,Ghana,GHA
108,292,1460,Gibraltar,GIB
109,300,1470,Greece,GRC
110,304,1480,Greenland,GRL
111,308,1490,Grenada,GRD
112,312,1500,Guadeloupe,
113,316,1510,Guam,GUM
114,320,1520,Guatemala,GTM
115,324,1530,Guinea,GIN
116,624,1540,Guinea-Bissau,GNB
117,966,1545,Gulf Cooperation Council (GCC),
118,328,1550,Guyana,GUY
119,332,1560,Haiti,HTI
