,Frequency,FrequencyCode,Indicator,IndicatorCategory,IndicatorCategoryCode,IndicatorCode,PartnerEconomy,PartnerEconomyCode,Period,PeriodCode,ProductOrSector,ProductOrSectorClassification,ProductOrSectorClassificationCode,ProductOrSectorCode,ReportingEconomy,ReportingEconomyCode,Unit,UnitCode,Value,Year
0,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Algeria,012,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,9255.0,2016
1,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Australia,036,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,3775.0,2016
2,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Austria,040,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,36807.0,2016
3,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Bangladesh,050,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,834.0,2016
4,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Belgium,056,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,77804.0,2016
5,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Brazil,076,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,907.0,2016
6,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Bulgaria,100,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,8985.0,2016
7,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Canada,124,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,153397.0,2016
8,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,China,156,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,1914996.0,2016
9,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Chinese Taipei,158,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,18293.0,2016
10,Annual,A,"Bilateral imports by detailed HS codes (2,4,6 digit)",Bilateral imports,TPM_HS,HS_M_0010,Croatia,191,Annual,A,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, typescripts and plans",Harmonized System,HS,49,Tunisia,788,US$,USD,5990.0,2016
